English (autotranslated by google.translate),Georgian (original content),English (column A corrected by GPT4)
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
Profile-U-Schwell,პროფილი-u-შველერი,Laminated veneer lumber
Zolovanapala,ზოლოვანაპალასა,Laminated veneer lumber
Zolovanapala,ზოლოვანაპალასა,Laminated veneer lumber
Zolovanapala,ზოლოვანაპალასა,Laminated veneer lumber
Zolovanapala,ზოლოვანაპალასა,Laminated veneer lumber
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Zolovanapala,ზოლოვანაპალასა,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal angle L-bracket
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Metal-angle-L-Ugolnik,ლითონის-კუთხე-l-უგოლნიკი,Metal corner bead
Fireplace-Chat-30-30,ბუხრის-ჩამკეტი-30-30,Clay brick 30-30
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Metal-pour-1-2-1-0,ლითონის-ფურცელი-1-2-1-0,Metal sheet 1-2-1-0
Allow-6mm-4m-2m-2 m,შენადუღი-მავთულბადე-6მმ-4მ-2მ,Expanded metal sheet 6mm-4m-2m
Allow-5mm-4 m-2m-2m,შენადუღი-მავთულბადე-5მმ-4მ-2მ,Expanded metal sheet 5mm-4m-2m
Allow-4mm-4m-2m-2m,შენადუღი-მავთულბადე-4მმ-4მ-2მ,Expanded metal sheet 4mm-4m-2m
Cart,ურიკა-შინდი,Granite tile
Cart,ურიკა-შინდი,Granite tile
Wheelbarrow,ურიკა,Granite
Wheelbarrow,ურიკა,Granite
Ceramogranite-60-60- Chocolate,კერამოგრანიტი-60-60-chocolate,Porcelain tile 60x60 chocolate
Ceramogranite-60-60,კერამოგრანიტი-60-60,Porcelain tile 60x60
Ceramic-Fila-60-60,კერამიკული-ფილა-60-60,Ceramic tile 60x60
Ceramic-Fila-50-54,კერამიკული-ფილა-50-54,Ceramic tile 50x54
Ceramic-Fila-50-50- Light-Gray,კერამიკული-ფილა-50-50-light-gray,Ceramic tile 50x50 light gray
Ceramic-Fila-50-53,კერამიკული-ფილა-50-53,Ceramic tile 50x53
Ceramic-Fila-50-52,კერამიკული-ფილა-50-52,Ceramic tile 50x52
Ceramic-Fila-50-51,კერამიკული-ფილა-50-51,Ceramic tile 50x51
Ceramic-Fila-50-50,კერამიკული-ფილა-50-50,Ceramic tile 50x50
Iranian-Masian-Agour-Omran-22-10-5,ირანული-მასიური-აგური-omran-22-10-5,Iranian concrete block omran 22-10-5
Iranian-Masian-Agour-Omran-22-10-5,ირანული-მასიური-აგური-omran-22-10-5,Iranian concrete block omran 22-10-5
Iranian-Masian-Agour-Omran-22-10-5,ირანული-მასიური-აგური-omran-22-10-5,Iranian concrete block omran 22-10-5
Iranian-Fale-Agur-23-11-7,ირანული-ფასადის-აგური-23-11-7,Iranian firebrick 23-11-7
Iranian-Fale-Agur-23-11-7,ირანული-ფასადის-აგური-23-11-7,Iranian firebrick 23-11-7
Iranian-Fale-Agur-23-11-7,ირანული-ფასადის-აგური-23-11-7,Iranian firebrick 23-11-7
Refractory-Agaur-шб-5-23-11-4-6-5,ცეცხლგამძლე-აგური-шб-5-23-11-4-6-5,Fire-resistant brick шб-5-23-11-4-6-5
Refractory-Agaur-шб-5-23-11-4-6-5,ცეცხლგამძლე-აგური-шб-5-23-11-4-6-5,Fire-resistant brick шб-5-23-11-4-6-5
Refractory-Agaur-шб-5-23-11-4-6-5,ცეცხლგამძლე-აგური-шб-5-23-11-4-6-5,Fire-resistant brick шб-5-23-11-4-6-5
Pneumatic-Chakuchi-CN70,პნეუმატური-ჩაქუჩი-cn70,Pneumatic stapler CN70
Pneumatic-Chakuchi-CN70,პნეუმატური-ჩაქუჩი-cn70,Pneumatic stapler CN70
Pneumatic-Chakuchi-CN55,პნეუმატური-ჩაქუჩი-cn55,Pneumatic stapler CN55
Pneumatic-Chakuchi-CN55,პნეუმატური-ჩაქუჩი-cn55,Pneumatic stapler CN55
Pneumatic-Chuckle-Lursman -40 x2-1,პნეუმატური-ჩაქუჩის-ლურსმანი-40x2-1,Pneumatic nailer guide strip 40x2-1
Pneumatic-Chuckle-Lursman -40 x2-1,პნეუმატური-ჩაქუჩის-ლურსმანი-40x2-1,Pneumatic nailer guide strip 40x2-1
Pneumatic-Chuckle-Lursman -40 X2-5,პნეუმატური-ჩაქუჩის-ლურსმანი-40x2-5,Pneumatic nailer guide strip 40x2-5
Pneumatic-Chuckle-Lursman -40 X2-5,პნეუმატური-ჩაქუჩის-ლურსმანი-40x2-5,Pneumatic nailer guide strip 40x2-5
Pneumatic-Chuckle-Lursman -70 x2-5,პნეუმატური-ჩაქუჩის-ლურსმანი-70x2-5,Pneumatic nailer guide strip 70x2-5
Pneumatic-Chuckle-Lursman -70 x2-5,პნეუმატური-ჩაქუჩის-ლურსმანი-70x2-5,Pneumatic nailer guide strip 70x2-5
Bourbushel-Osb-Funera-1-25 X2-50X9 mm,ბურბუშელის-ოსბ-ფანერა-1-25x2-50x9მმ,OSB panel 1.25x2.50x9mm
Bourbushel-Osb-Funera-1-25 X2-50X9 mm,ბურბუშელის-ოსბ-ფანერა-1-25x2-50x9მმ,OSB panel 1.25x2.50x9mm
Bourbushel-Osb-Funera-1-25 X2-50X9 mm,ბურბუშელის-ოსბ-ფანერა-1-25x2-50x9მმ,OSB panel 1.25x2.50x9mm
Bourbushel-Osb-Funera-1-25 X2-50X9 mm,ბურბუშელის-ოსბ-ფანერა-1-25x2-50x9მმ,OSB panel 1.25x2.50x9mm
Welding-electrode-monowelds-3mm,საშემდუღებლო-ელექტროდი-monowelds-3მმ,Welding electrode Monowelds 3mm
Welding-electrode-monowelds-3mm,საშემდუღებლო-ელექტროდი-monowelds-3მმ,Welding electrode Monowelds 3mm
Welding-Electrode-Geka-3-20x350mmmmmmmmmmmm,საშემდუღებლო-ელექტროდი-geka-3-20x350mm,Welding electrode Geka 3-20x350mm
Welding-Electrode-Geka-3-20x350mmmmmmmmmmmm,საშემდუღებლო-ელექტროდი-geka-3-20x350mm,Welding electrode Geka 3-20x350mm
Welding-Electrode-Geka-2-50x350mmmmmmmmmmmmmm,საშემდუღებლო-ელექტროდი-geka-2-50x350mm,Welding electrode Geka 2-50x350mm
Welding-Electrode-Geka-2-50x350mmmmmmmmmmmmmm,საშემდუღებლო-ელექტროდი-geka-2-50x350mm,Welding electrode Geka 2-50x350mm
Burnt-Machuli-4mm,გამომწვარი-მავთული-4მმ,Hardened expanded metal 4mm
Burnt-Machuli -3mm,გამომწვარი-მავთული-3მმ,Hardened expanded metal 3mm
Burnt-Machuli -2mm,გამომწვარი-მავთული-2მმ,Hardened expanded metal 2mm
Burnt-Machuli-1-5mm,გამომწვარი-მავთული-1-5მმ,Hardened expanded metal 1.5mm
Burnt-Machuli-1-2mm,გამომწვარი-მავთული-1-2მმ,Hardened expanded metal 1.2mm
Nail -200mm,ლურსმანი-200მმ,Guide strip 200mm
Nail -150mm,ლურსმანი-150მმ,Guide strip 150mm
Nail -120mm,ლურსმანი-120მმ,Guide strip 120mm
Nail -100mm,ლურსმანი-100მმ,Guide strip 100mm
Nail -80mm,ლურსმანი-80მმ,Guide strip 80mm
Nail -70mm,ლურსმანი-70მმ,Guide strip 70mm
Nail -60mm,ლურსმანი-60მმ,Guide strip 60mm
Nail -50mm,ლურსმანი-50მმ,Guide strip 50mm
Mil-Mil-80 x80x2-5,მილკვადრატი-80x80x2-5,Steel square tube 80x80x2.5
Mil-Mil-Milkvadrat -15 x15x1-5,მილკვადრატი-15x15x1-5,Steel square tube 15x15x1.5
Mill-Mil-40 x80x2-5,მილკვადრატი-40x80x2-5,Steel square tube 40x80x2.5
Mil-200100 x100x4-0,მილკვადრატი-100x100x4-0,Steel square tube 100x100x4.0
Mil-Milkvadrat -50 x50x2-5,მილკვადრატი-50x50x2-5,Steel square tube 50x50x2.5
Glass-Bamba-Alyana -15m2,მინა-ბამბა-არიანა-15მ2,Glass wool Ariana 15m2
Glass-Bamba-Alyana -12m2,მინა-ბამბა-არიანა-12მ2,Glass wool Ariana 12m2
Iranian-fire-resistant-Agur-1,ირანული-ცეცხლგამძლე-აგური-1,Iranian fire-resistant brick 1
Iranian-fire-resistant-Agur-1,ირანული-ცეცხლგამძლე-აგური-1,Iranian fire-resistant brick 1
Iranian-fire-resistant-Agur-1,ირანული-ცეცხლგამძლე-აგური-1,Iranian fire-resistant brick 1
Thorny-Mavtuli-Uzangavi-2mm-270 m,ეკლიანი-მავთული-უჟანგავი-2მმ-270მ,Eccentric expanded metal 2mm-270m
Thorny-Mavtuli-Uzangavi-2mm-270 m,ეკლიანი-მავთული-უჟანგავი-2მმ-270მ,Eccentric expanded metal 2mm-270m
Glue-Tomart-Frost-Tr-023,წებოცემენტი-tomart-frost-tr-023,Siding cement Tomart Frost TR-023
Glue-Tomart-Frost-Tr-023,წებოცემენტი-tomart-frost-tr-023,Siding cement Tomart Frost TR-023
Glove-brown-bravo,ხელთათმანი-ყავისფერი-bravo,Glove coffee color Bravo
Glove-brown-bravo,ხელთათმანი-ყავისფერი-bravo,Glove coffee color Bravo
Carrot-flattery-bravo,სტაფილოსფერი-ხელთათმანი-bravo,Glove orange color Bravo
Carrot-flattery-bravo,სტაფილოსფერი-ხელთათმანი-bravo,Glove orange color Bravo
Blue-Khatman-300,ლურჯი-ხელთათმანი-300,Glove blue 300
Blue-Khatman-300,ლურჯი-ხელთათმანი-300,Glove blue 300
Cutters-Ring -400 x4-0x32,საჭრელი-რგოლი-400x4-0x32,Cutting disc 400x4.0x32
Cutters-Ring -400 x4-0x32,საჭრელი-რგოლი-400x4-0x32,Cutting disc 400x4.0x32
Court-Chew-125 x22mm,საშკურკი-ქვა-125x22mm,Grinding stone 125x22mm
Court-Chew-125 x22mm,საშკურკი-ქვა-125x22mm,Grinding stone 125x22mm
Cutters-Ring -230 X2-5X2223,საჭრელი-რგოლი-230x2-5x22-23,Cutting disc 230x2.5x22-23
Cutters-Ring -230 X2-5X2223,საჭრელი-რგოლი-230x2-5x22-23,Cutting disc 230x2.5x22-23
Cutters-Ring -125 x1-0x222223,საჭრელი-რგოლი-125x1-0x22-23,Cutting disc 125x1.0x22-23
Cutters-Ring -125 x1-0x222223,საჭრელი-რგოლი-125x1-0x22-23,Cutting disc 125x1.0x22-23
Laptop-Lenovo-1,ლეპტოპი-ლენოვო-1,Laptop Lenovo 1
Laptop-Lenovo-1,ლეპტოპი-ლენოვო-1,Laptop Lenovo 1
Heidelberg-cement-400-marker,ჰაიდელბერგ-ცემენტი-400-მარკიანი,Heidelberg cement 400 Markian
Heidelberg-cement-400-marker,ჰაიდელბერგ-ცემენტი-400-მარკიანი,Heidelberg cement 400 Markian
Heidelberg-cement-400-marker,ჰაიდელბერგ-ცემენტი-400-მარკიანი,Heidelberg cement 400 Markian
Refractory-Tikh-Shamut,ცეცხლგამძლე-თიხა-შამუთი,Fire-resistant tile Shamut
Refractory-Tikh-Shamut,ცეცხლგამძლე-თიხა-შამუთი,Fire-resistant tile Shamut
Gypsum,თაბაშირი,Tabashir
Gypsum,თაბაშირი,Tabashir
Gypsum,თაბაშირი,Tabashir
Gage,გაჯი,Gaj
Gage,გაჯი,Gaj
Gage,გაჯი,Gaj
Brick,აგური,Brick
Brick,აგური,Brick
Brick,აგური,Brick
Old-Georgian-Agore,ძველი-ქართული-აგური,Old Georgian brick
Old-Georgian-Agore,ძველი-ქართული-აგური,Old Georgian brick
Old-Georgian-Agore,ძველი-ქართული-აგური,Old Georgian brick
New-Georgian-Agur -1,ახალი-ქართული-აგური-1,New Georgian brick 1
New-Georgian-Agur -1,ახალი-ქართული-აგური-1,New Georgian brick 1
Imeretian-Kramite-Secondary,იმერული-კრამიტი-მეორადი,Imeretian kramit secondary
Imeretian-Kramite-Secondary,იმერული-კრამიტი-მეორადი,Imeretian kramit secondary
Imeretian-Kramite-Secondary,იმერული-კრამიტი-მეორადი,Imeretian kramit secondary
Imeretian-Kramite-Secondary,იმერული-კრამიტი-მეორადი,Imeretian kramit secondary
Imeretian-Kramite-Secondary,იმერული-კრამიტი-მეორადი,Imeretian kramit secondary
Pumice,პემზა,Pumice
Pumice,პემზა,Pumice
Gravel-puddle-tap,ხრეში-ღორღი-კენჭი,Pig iron anvil
Gravel-puddle-tap,ხრეში-ღორღი-კენჭი,Pig iron anvil
Gravel-puddle-tap,ხრეში-ღორღი-კენჭი,Pig iron anvil
Partition-bloc,ტიხრის-ბლოკი,Clay block
Partition-bloc,ტიხრის-ბლოკი,Clay block
Partition-bloc,ტიხრის-ბლოკი,Clay block
A fractured-Georgian-agore,დახერხილი-ქართული-აგური,Crushed Georgian brick
A fractured-Georgian-agore,დახერხილი-ქართული-აგური,Crushed Georgian brick
A fractured-Georgian-agore,დახერხილი-ქართული-აგური,Crushed Georgian brick
Old-Aguri-Movtad,ძველი-აგური-მეორადი,Old secondary brick
Old-Aguri-Movtad,ძველი-აგური-მეორადი,Old secondary brick
Old-Aguri-Movtad,ძველი-აგური-მეორადი,Old secondary brick
White-second-agour-silicate,თეთრი-მეორადი-აგური-სილიკატის,White secondary brick with silicate
White-second-agour-silicate,თეთრი-მეორადი-აგური-სილიკატის,White secondary brick with silicate
Pail,პორტლანდცემენტი,Portland cement
Pail,პორტლანდცემენტი,Portland cement
Decorative-white-cement,დეკორატიული-თეთრი-ცემენტი,Decorative white cement
Decorative-white-cement,დეკორატიული-თეთრი-ცემენტი,Decorative white cement
Imeretian-Kramite-New,იმერული-კრამიტი-ახალი,New Imeretian kramit
Imeretian-Kramite-New,იმერული-კრამიტი-ახალი,New Imeretian kramit
Imeretian-Kramite-New,იმერული-კრამიტი-ახალი,New Imeretian kramit
Wire-grid-placed,მავთულის-ბადე-დაწნული,Twisted expanded metal
Wire-grid-placed,მავთულის-ბადე-დაწნული,Twisted expanded metal
Wire-grid-placed,მავთულის-ბადე-დაწნული,Twisted expanded metal
Trimmed-fire-resistant-agile,დახერხილი-ცეცხლგამძლე-აგური,Crushed fire-resistant brick
Trimmed-fire-resistant-agile,დახერხილი-ცეცხლგამძლე-აგური,Crushed fire-resistant brick
Metallic-grid-murmur-gray,მეტალის-ბადე-მსხვილი-ღრუთი,Thick metal expanded metal
Metallic-grid-murmur-gray,მეტალის-ბადე-მსხვილი-ღრუთი,Thick metal expanded metal
Metallic-grid-murmur-gray,მეტალის-ბადე-მსხვილი-ღრუთი,Thick metal expanded metal
Copy-of-All-Chapter-Machine-Buddha,copy-of-შენადუღი-მავთულ-ბადე,Copy of welded expanded metal
Copy-of-All-Chapter-Machine-Buddha,copy-of-შენადუღი-მავთულ-ბადე,Copy of welded expanded metal
Copy-of-All-Chapter-Machine-Buddha,copy-of-შენადუღი-მავთულ-ბადე,Copy of welded expanded metal
block,ბლოკი,Block
block,ბლოკი,Block
block,ბლოკი,Block
Black-sand,შავი-ქვიშა,Black sand
Black-sand,შავი-ქვიშა,Black sand
Metekhi-Fale-Agur-1,მეტეხის-ფასადის-აგური-1,Metekhis facade brick 1
Metekhi-Fale-Agur-1,მეტეხის-ფასადის-აგური-1,Metekhis facade brick 1
Metekhi-Fale-Agur-1,მეტეხის-ფასადის-აგური-1,Metekhis facade brick 1
Metallic-grid-chill-greedy,მეტალის-ბადე-წვრილი-ღრუთი,Thin metal expanded sheet
Metallic-grid-chill-greedy,მეტალის-ბადე-წვრილი-ღრუთი,Thin metal expanded sheet
Metallic-grid-chill-greedy,მეტალის-ბადე-წვრილი-ღრუთი,Thin metal expanded sheet
Metekhi-Fale-Agur,მეტეხის-ფასადის-აგური,Metekhis facade brick
Metekhi-Fale-Agur,მეტეხის-ფასადის-აგური,Metekhis facade brick
Metekhi-Fale-Agur,მეტეხის-ფასადის-აგური,Metekhis facade brick
Chakli,შპაკლი,Shpackle
Chakli,შპაკლი,Shpackle
Chakli,შპაკლი,Shpackle
Iranian-Fale-Agour,ირანული-ფასადის-აგური,Iranian facade brick
Iranian-Fale-Agour,ირანული-ფასადის-აგური,Iranian facade brick
Iranian-Fale-Agour,ირანული-ფასადის-აგური,Iranian facade brick
Russian-fire-resistant-agile,რუსული-ცეცხლგამძლე-აგური,Russian fire-resistant brick
Russian-fire-resistant-agile,რუსული-ცეცხლგამძლე-აგური,Russian fire-resistant brick
Russian-fire-resistant-agile,რუსული-ცეცხლგამძლე-აგური,Russian fire-resistant brick
Travertine-mineral-ed,ტრავერტინის-მინერალური-ქვა,Travertine mineral stone
Brick-cut-trim-pier-Oir-400 dm,აგურის-საჭრელი-ხერხის-პირი-400დმ,Cutting disc for brick 400mm
Brick-cut-trim-pier-Oir-400 dm,აგურის-საჭრელი-ხერხის-პირი-400დმ,Cutting disc for brick 400mm
Iranian-L-form,ირანული-l-ფორმა,Iranian L-shape
Iranian-L-form,ირანული-l-ფორმა,Iranian L-shape
Iranian-Aguri-Fila,ირანული-აგურის-ფილა,Iranian brick tile
Iranian-Aguri-Fila,ირანული-აგურის-ფილა,Iranian brick tile
Iranian-aga,ირანული-აგური,Iranian brick
Wire-grid-welded,მავთულის-ბადე-შედუღებული,Welded expanded metal
Secondary-fire-resistant-aga,მეორადი-ცეცხლგამძლე-აგური,Secondary fire-resistant brick
Secondary-fire-resistant-aga,მეორადი-ცეცხლგამძლე-აგური,Secondary fire-resistant brick
Kakhet,კახური-აგური,Kakhetian brick
Kakhet,კახური-აგური,Kakhetian brick
Fuss,არმატურა,Armatura (reinforcement bar)
Fuss,არმატურა,Armatura (reinforcement bar)
Brick-cut-cherish-laser-welding,აგურის-საჭრელი-ხერხი-ლაზერული-შედუღებით,Cutting edge laser-welded for brick
For Kurtan-Marcela-Cramite,კურტანი-მარსელის-კრამიტისთვის,Kurtani for Marseilles kramit
Iranian-ceramic-agore,ირანული-კერამიკული-აგური,Iranian ceramic brick
Iranian-ceramic-agore,ირანული-კერამიკული-აგური,Iranian ceramic brick
Iranian-ceramic-agore,ირანული-კერამიკული-აგური,Iranian ceramic brick
Shaft,ცეცხლგამძლე-ფილა,Fire-resistant tile
Shaft,ცეცხლგამძლე-ფილა,Fire-resistant tile
Shaft,ცეცხლგამძლე-ფილა,Fire-resistant tile
Red-ceramic-agour,წითელი-კერამიკული-აგური,Red ceramic brick
Red-ceramic-agour,წითელი-კერამიკული-აგური,Red ceramic brick
Kurtan,კურტანი,Kurtani
Iranian-fire-resistant-aga,ირანული-ცეცხლგამძლე-აგური,Iranian fire-resistant brick
Iranian-fire-resistant-aga,ირანული-ცეცხლგამძლე-აგური,Iranian fire-resistant brick
Iranian-fire-resistant-aga,ირანული-ცეცხლგამძლე-აგური,Iranian fire-resistant brick
Brick-fenad-clinker,აგური-ფასადის-კლინკერული,Clinker for facade
Brick-fenad-clinker,აგური-ფასადის-კლინკერული,Clinker for facade brick
Brick-fenad-clinker,აგური-ფასადის-კლინკერული,Clinker for facade brick
Sachkhere-yellow-sand,საჩხერის-ყვითელი-ქვიშა,Sachkhere yellow sand
Sachkhere-yellow-sand,საჩხერის-ყვითელი-ქვიშა,Sachkhere yellow sand
Heidelberg-cement-300-marker,ჰაიდელბერგ-ცემენტი-300-მარკიანი,Heidelberg cement 300 Markian
Heidelberg-cement-500-marker,ჰაიდელბერგ-ცემენტი-500-მარკიანი,Heidelberg cement 500 Markian
Glue-cement-bethek,წებო-ცემენტი-ბეტეკი,Siding cement Beteki
Ukrainian-clinker-aga,უკრაინული-კლინკერული-აგური,Ukrainian clinker brick
Iranian-Massuri-Aguri,ირანული-მასიური-აგური,Iranian massive brick
Iranian-Massuri-Aguri,ირანული-მასიური-აგური,Iranian massive brick
Iranian-Massuri-Aguri,ირანული-მასიური-აგური,Iranian massive brick
Iranian-ceramic-fila,ირანული-კერამიკული-ფილა,Iranian ceramic tile
With Iranian-keramic-phila-adorable,ირანული-კერამიკული-ფილა-დაძველებით,Iranian ceramic tile with aging
Refractory-Agaur-Indian,ცეცხლგამძლე-აგური-ინდური,Fire-resistant brick Induri
New-Georgian-Agore,ახალი-ქართული-აგური,New Georgian brick
New-Georgian-Agore,ახალი-ქართული-აგური,New Georgian brick
New-Georgian-Agore,ახალი-ქართული-აგური,New Georgian brick
New-Georgian-Agore,ახალი-ქართული-აგური,New Georgian brick
Refractory-agile,ცეცხლგამძლე-აგური,Fire-resistant brick
Refractory-agile,ცეცხლგამძლე-აგური,Fire-resistant brick
Refractory-agile,ცეცხლგამძლე-აგური,Fire-resistant brick
Refractory-agile,ცეცხლგამძლე-აგური,Fire-resistant brick
Ceramic-Phils,კერამიკული-ფილები,Ceramic tiles
Armenian-Tufa-Fila,სომხური-ტუფის-ფილა,Armenian tuff tile
Armenian-Tufa-Fila,სომხური-ტუფის-ფილა,Armenian tuff tile
Armenian-Tufa-Fila,სომხური-ტუფის-ფილა,Armenian tuff tile
Armenian-Tufa-Fila,სომხური-ტუფის-ფილა,Armenian tuff tile
Secondary-aga,მეორადი-აგური,Secondary brick
Secondary-aga,მეორადი-აგური,Secondary brick
Secondary-aga,მეორადი-აგური,Secondary brick
Secondary-aga,მეორადი-აგური,Secondary brick
